"Character Name","Gender","Age","Survival Ability","Level 1","Level 2","Level 3","Level 4","Level 5","Level 6","Level 7","Level 8"
"Andrew","M","42","Armor Specialist","decreased by 2%","decreased by 4%","decreased by 6%"," decreased by 8%"," Suit.","decreased by 10%","Bannaer","decreased by 12%"
"A124","F","18","Thrill of Battle"," EP into HP, CD: 90s"," EP into HP, CD: 80s"," EP into HP, CD: 75s"," EP into HP, CD: 70s"," Suit"," EP into HP, CD: 65s","Bannaer"," EP into HP, CD: 60s"
"Rafael","M","31"," Dead Silent","ot be revealed on the mini-map for 8s, CD 90s","ot be revealed on the mini-map for 8s, CD 80s","ot be revealed on the mini-map for 8s, CD 70s","ot be revealed on the mini-map for 8s, CD 60s"," Suit","ot be revealed on the mini-map for 8s, CD 50s","Bannaer","ot be revealed on the mini-map for 8s, CD 40s"
"Laura","F","24","Sharp Shooter","Accuracy increase 10%-Scope in","Accuracy increase  14%-Scope in","Accuracy increase 18%-Scope in","Accuracy increase  22%-Scope in"," Suit","Accuracy increase 28%-Scope in","Bannaer","Accuracy increase 30%-Scope in"
"Shimada Hayato","M","20","Bushido","HP is decrease 10%,increase 7.5% armor penetration","HP is decrease 10%,increase 8% armor penetration","HP is decrease 10%,increase 8.5% armor penetration","HP is decrease 10%,increase 9% armor penetration"," Suit","HP is decrease 10%,increase 9.5% armor penetration","Bannaer","HP is decrease 10%,increase 10% armor penetration"
"Moco","F","20","Hacker's Eye","Tag enemies shot for 2 seconds.","Tag enemies shot for 2.5 seconds.","Tag enemies shot for 3 seconds.","Tag enemies shot for 3.5 seconds."," Suit","Tag enemies shot for 4 seconds.","Bannaer","Tag enemies shot for 5 seconds."
"Wukong","Unknown","Unknown","Camouflage","cool down is 300 seconds","cool down is 280 seconds","cool down is 260 seconds","cool down is 240 seconds"," Suit","cool down is 220 seconds","Bannaer","cool down is 200 seconds"
"Antonio","Unknown","30","Gangster's Spirit","Receive 10 extra HP when the round starts","Receive 15 extra HP when the round starts","Receive 20 extra HP when the round starts","Receive 25 extra HP when the round starts"," Suit","Receive 30 extra HP when the round starts","Bannaer","Receive 35 extra HP when the round starts"
"Caroline","F","17","Agility","shotgun movement speed is increased by 3%","shotgun movement speed is increased by 4%","shotgun movement speed is increased by 5%","shotgun movement speed is increased by 6%"," Suit","shotgun movement speed is increased by 7%","Bannaer","shotgun movement speed is increased by 8%"
"Miguel","M","26","Crazy Slayer","Gain 20 EP for each kill","Gain 25 EP for each kill","Gain 30 EP for each kill","Gain 35 EP for each kill"," Suit","Gain 40 EP for each kill","Bannaer","Gain 45 EP for each kill"
